,sentiment_risk,confidence_risk,volatility_risk,engagement_risk,tenure_risk,overall_risk,cluster
160,0.0,0.6,0.5,0.0,0,0.22,4
161,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,1
162,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
163,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
164,0.0,0.6,0.0,0.0,0,0.12,0
165,1.0,0.49,0.0,0.41107184923439344,0,0.45966077738515904,5
166,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
167,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
168,0.3333333333333333,0.5999999999999999,0.7071067811865475,0.0,0,0.3614213562373095,4
169,0.0,0.6,0.0,0.0,0,0.12,6
170,0.0,0.6,0.0,0.0,0,0.12,8
171,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
172,0.0,0.3999999999999999,0.5,0.0,0,0.18,7
173,0.0,0.6,0.35355339059327373,0.0,0,0.19071067811865475,6
174,0.0,0.6,0.5,0.0,0,0.22,8
175,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
176,0.0,0.6,0.0,0.0,0,0.12,4
177,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,1
178,0.5,0.6,1.0,0.0,0,0.47000000000000003,8
179,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
180,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,0
181,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,6
182,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
183,0.0,0.5999999999999999,0.0,0.0,0,0.11999999999999998,3
184,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
185,1.0,0.33999999999999997,0.0,0.41107184923439344,0,0.429660777385159,5
186,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
187,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
188,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
189,0.0,0.5999999999999999,0.0,0.0,0,0.11999999999999998,6
190,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,6
191,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
192,0.0,0.6,0.5,0.0,0,0.22,4
193,0.0,0.6,0.0,0.0,0,0.12,1
194,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
195,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
196,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,0
197,0.3333333333333333,0.5633333333333332,0.7071067811865475,0.0,0,0.3540880229039761,5
